2023-03-08 00:16:56,379 INFO RECEIVED MESSAGE:            127, global time: 28, local logical clock time: 147, message queue length: 4
2023-03-08 00:16:56,385 INFO RECEIVED MESSAGE:            131, global time: 29, local logical clock time: 150, message queue length: 4
2023-03-08 00:16:56,391 INFO RECEIVED MESSAGE:            137, global time: 29, local logical clock time: 154, message queue length: 5
2023-03-08 00:16:56,397 INFO RECEIVED MESSAGE:            138, global time: 30, local logical clock time: 157, message queue length: 5
2023-03-08 00:16:56,402 INFO RECEIVED MESSAGE:            146, global time: 30, local logical clock time: 158, message queue length: 4
2023-03-08 00:16:56,408 INFO RECEIVED MESSAGE:            149, global time: 31, local logical clock time: 159, message queue length: 3
2023-03-08 00:16:56,414 INFO RECEIVED MESSAGE:            152, global time: 31, local logical clock time: 165, message queue length: 3
2023-03-08 00:16:56,420 INFO RECEIVED MESSAGE:            153, global time: 32, local logical clock time: 168, message queue length: 4
2023-03-08 00:16:56,426 INFO RECEIVED MESSAGE:            156, global time: 32, local logical clock time: 169, message queue length: 3
2023-03-08 00:16:56,432 INFO RECEIVED MESSAGE:            164, global time: 33, local logical clock time: 172, message queue length: 3
2023-03-08 00:16:56,438 INFO RECEIVED MESSAGE:            166, global time: 33, local logical clock time: 176, message queue length: 3
2023-03-08 00:16:56,444 INFO RECEIVED MESSAGE:            167, global time: 34, local logical clock time: 179, message queue length: 3
2023-03-08 00:16:56,450 INFO RECEIVED MESSAGE:            171, global time: 34, local logical clock time: 180, message queue length: 2
2023-03-08 00:16:56,456 INFO RECEIVED MESSAGE:            175, global time: 35, local logical clock time: 181, message queue length: 1
2023-03-08 00:16:56,462 INFO RECEIVED MESSAGE:            178, global time: 35, local logical clock time: 182, message queue length: 0
2023-03-08 00:16:56,468 INFO RECEIVED MESSAGE:            187, global time: 36, local logical clock time: 188, message queue length: 0
2023-03-08 00:16:56,473 INFO SENT MESSAGE:                189, TO: 7977, 7979, global time:       36, local logical clock time: 189
2023-03-08 00:16:56,479 INFO INTERNAL EVENT, global time: 37, local logical clock time:    190
2023-03-08 00:16:56,485 INFO SENT MESSAGE:                191, TO: 7977, 7979, global time:       37, local logical clock time: 191
2023-03-08 00:16:56,491 INFO RECEIVED MESSAGE:            199, global time: 38, local logical clock time: 200, message queue length: 0
2023-03-08 00:16:56,497 INFO RECEIVED MESSAGE:            200, global time: 38, local logical clock time: 203, message queue length: 1
2023-03-08 00:16:56,503 INFO RECEIVED MESSAGE:            202, global time: 39, local logical clock time: 205, message queue length: 1
2023-03-08 00:16:56,508 INFO RECEIVED MESSAGE:            204, global time: 39, local logical clock time: 207, message queue length: 1
2023-03-08 00:16:56,514 INFO RECEIVED MESSAGE:            206, global time: 40, local logical clock time: 210, message queue length: 2
2023-03-08 00:16:56,520 INFO RECEIVED MESSAGE:            208, global time: 40, local logical clock time: 214, message queue length: 3
2023-03-08 00:16:56,526 INFO RECEIVED MESSAGE:            209, global time: 41, local logical clock time: 215, message queue length: 3
2023-03-08 00:16:56,532 INFO RECEIVED MESSAGE:            211, global time: 41, local logical clock time: 217, message queue length: 3
2023-03-08 00:16:56,538 INFO RECEIVED MESSAGE:            213, global time: 42, local logical clock time: 220, message queue length: 3
2023-03-08 00:16:56,544 INFO RECEIVED MESSAGE:            214, global time: 42, local logical clock time: 223, message queue length: 3
2023-03-08 00:16:56,549 INFO RECEIVED MESSAGE:            216, global time: 43, local logical clock time: 225, message queue length: 3
2023-03-08 00:16:56,555 INFO RECEIVED MESSAGE:            219, global time: 43, local logical clock time: 228, message queue length: 3
2023-03-08 00:16:56,561 INFO RECEIVED MESSAGE:            222, global time: 44, local logical clock time: 232, message queue length: 3
2023-03-08 00:16:56,566 INFO RECEIVED MESSAGE:            224, global time: 44, local logical clock time: 233, message queue length: 2
2023-03-08 00:16:56,572 INFO RECEIVED MESSAGE:            227, global time: 45, local logical clock time: 237, message queue length: 3
2023-03-08 00:16:56,578 INFO RECEIVED MESSAGE:            231, global time: 45, local logical clock time: 240, message queue length: 3
2023-03-08 00:16:56,584 INFO RECEIVED MESSAGE:            234, global time: 46, local logical clock time: 243, message queue length: 3
2023-03-08 00:16:56,590 INFO RECEIVED MESSAGE:            236, global time: 46, local logical clock time: 244, message queue length: 2
2023-03-08 00:16:56,595 INFO RECEIVED MESSAGE:            239, global time: 47, local logical clock time: 247, message queue length: 3
2023-03-08 00:16:56,601 INFO RECEIVED MESSAGE:            242, global time: 47, local logical clock time: 249, message queue length: 3
2023-03-08 00:16:56,607 INFO RECEIVED MESSAGE:            245, global time: 48, local logical clock time: 252, message queue length: 4
2023-03-08 00:16:56,613 INFO RECEIVED MESSAGE:            246, global time: 48, local logical clock time: 254, message queue length: 4
2023-03-08 00:16:56,619 INFO RECEIVED MESSAGE:            248, global time: 49, local logical clock time: 258, message queue length: 5
